Timestamp,miners-revenue
2019-03-11 00:00:00,6977449.87654973
2019-03-12 00:00:00,7088005.70444551
2019-03-13 00:00:00,6637474.19377045
2019-03-14 00:00:00,7600598.59424684
2019-03-15 00:00:00,7723228.79179382
2019-03-16 00:00:00,8496146.10726474
2019-03-17 00:00:00,7297849.33901329
2019-03-18 00:00:00,8269486.75644039
2019-03-19 00:00:00,8830120.09324167
2019-03-20 00:00:00,8742662.15328318
2019-03-21 00:00:00,7388901.05848648
2019-03-22 00:00:00,8113657.07200504
2019-03-23 00:00:00,7382484.15111263
2019-03-24 00:00:00,7499624.0874357
2019-03-25 00:00:00,7512795.86116405
2019-03-26 00:00:00,6780907.83753621
2019-03-27 00:00:00,7721974.78508324
2019-03-28 00:00:00,7609348.21050804
2019-03-29 00:00:00,7807462.60003831
2019-03-30 00:00:00,7321449.75025686
2019-03-31 00:00:00,7280099.53845046
2019-04-01 00:00:00,7260086.68771618
2019-04-02 00:00:00,9796335.10708989
2019-04-03 00:00:00,9794906.73422098
2019-04-04 00:00:00,9872137.44577406
2019-04-05 00:00:00,10526385.5093253
2019-04-06 00:00:00,9151289.67996446
2019-04-07 00:00:00,9465714.63768817
2019-04-08 00:00:00,10509444.218827
2019-04-09 00:00:00,9214713.9963386
2019-04-10 00:00:00,10332304.7364178
2019-04-11 00:00:00,10673185.0684278
2019-04-12 00:00:00,10032844.6937624
2019-04-13 00:00:00,8912797.68267318
2019-04-14 00:00:00,8025830.56805046
2019-04-15 00:00:00,9812670.32039005
2019-04-16 00:00:00,9626718.55527819
2019-04-17 00:00:00,9679415.78377375
2019-04-18 00:00:00,10319254.1749627
2019-04-19 00:00:00,10531918.6568264
2019-04-20 00:00:00,9275897.46327422
2019-04-21 00:00:00,11248346.3029415
2019-04-22 00:00:00,9411111.8267204
2019-04-23 00:00:00,8538019.90240713
2019-04-24 00:00:00,12202481.9130956
2019-04-25 00:00:00,10225360.6553522
2019-04-26 00:00:00,10183521.9482851
2019-04-27 00:00:00,9112041.03117378
2019-04-28 00:00:00,10771720.9485933
2019-04-29 00:00:00,11244134.7806778
2019-04-30 00:00:00,9672352.74232865
2019-05-01 00:00:00,11945018.6431959
2019-05-02 00:00:00,12941749.3453502
2019-05-03 00:00:00,11122649.2294458
2019-05-04 00:00:00,10035261.3673471
2019-05-05 00:00:00,9591032.60781153
2019-05-06 00:00:00,11100910.0764288
2019-05-07 00:00:00,10026818.2871987
2019-05-08 00:00:00,11731703.7301483
2019-05-09 00:00:00,12149462.758915
2019-05-10 00:00:00,10770042.575463
2019-05-11 00:00:00,11877938.2790655
2019-05-12 00:00:00,15580744.7153727
2019-05-13 00:00:00,16443665.5226962
2019-05-14 00:00:00,16211651.6224218
2019-05-15 00:00:00,16983774.4918891
2019-05-16 00:00:00,16642489.0435273
2019-05-17 00:00:00,15398528.2663666
2019-05-18 00:00:00,14984659.8529589
2019-05-19 00:00:00,17128952.0847312
2019-05-20 00:00:00,17411194.2865449
2019-05-21 00:00:00,16828129.8548241
2019-05-22 00:00:00,18104557.6470407
2019-05-23 00:00:00,16469421.0512328
2019-05-24 00:00:00,16833084.3068115
2019-05-25 00:00:00,15115205.1345969
2019-05-26 00:00:00,17530637.7421003
2019-05-27 00:00:00,20943626.1747347
2019-05-28 00:00:00,20098452.3035233
2019-05-29 00:00:00,20660475.7496612
2019-05-30 00:00:00,18924858.1213242
2019-05-31 00:00:00,13928405.3729962
2019-06-01 00:00:00,17500366.3831521
2019-06-02 00:00:00,15462127.8066285
2019-06-03 00:00:00,14378777.9286266
2019-06-04 00:00:00,17028462.3207378
2019-06-05 00:00:00,16774166.520507
2019-06-06 00:00:00,16576546.9153716
2019-06-07 00:00:00,16904713.8524406
2019-06-08 00:00:00,12882272.7216123
2019-06-09 00:00:00,15040475.2089595
2019-06-10 00:00:00,16318423.0157517
2019-06-11 00:00:00,14984664.3562564
2019-06-12 00:00:00,14041153.3883298
2019-06-13 00:00:00,16311181.085572
2019-06-14 00:00:00,18846894.0773128
2019-06-15 00:00:00,16609185.0992313
2019-06-16 00:00:00,15480924.6966563
2019-06-17 00:00:00,16680372.7946155
2019-06-18 00:00:00,19759220.101567
2019-06-19 00:00:00,21219685.8900861
2019-06-20 00:00:00,17906834.4189632
2019-06-21 00:00:00,17538287.9154746
2019-06-22 00:00:00,20226178.7284416
2019-06-23 00:00:00,25447586.8029726
2019-06-24 00:00:00,25683149.7809107
2019-06-25 00:00:00,22012700.0893407
2019-06-26 00:00:00,28602342.1291297
2019-06-27 00:00:00,23684931.4245074
2019-06-28 00:00:00,25937334.7871369
2019-06-29 00:00:00,27405858.844721
2019-06-30 00:00:00,23170049.1634577
2019-07-01 00:00:00,20510124.4180096
2019-07-02 00:00:00,21634656.1809865
2019-07-03 00:00:00,25660429.8291376
2019-07-04 00:00:00,25608368.4262575
2019-07-05 00:00:00,27132379.4818537
2019-07-06 00:00:00,26335706.9788643
2019-07-07 00:00:00,22174981.6766463
2019-07-08 00:00:00,27968213.8393009
2019-07-09 00:00:00,25335914.8683845
