Timestamp,n-payments-per-block
2019-03-11 00:00:00,3507.112676056338
2019-03-12 00:00:00,3404.958041958042
2019-03-13 00:00:00,3461.948148148148
2019-03-14 00:00:00,3300.9483870967742
2019-03-15 00:00:00,3387.8169934640523
2019-03-16 00:00:00,2609.288343558282
2019-03-17 00:00:00,2563.6438356164385
2019-03-18 00:00:00,3108.8509316770187
2019-03-19 00:00:00,2968.3045977011493
2019-03-20 00:00:00,3112.714285714286
2019-03-21 00:00:00,3441.6853146853146
2019-03-22 00:00:00,3173.2298136645963
2019-03-23 00:00:00,2797.3931034482757
2019-03-24 00:00:00,2492.4866666666667
2019-03-25 00:00:00,3506.4324324324325
2019-03-26 00:00:00,4260.05223880597
2019-03-27 00:00:00,3966.268456375839
2019-03-28 00:00:00,4216.5
2019-03-29 00:00:00,4069.5442176870747
2019-03-30 00:00:00,4157.482014388489
2019-03-31 00:00:00,3992.611510791367
2019-04-01 00:00:00,4268.198529411765
2019-04-02 00:00:00,4189.662420382166
2019-04-03 00:00:00,4264.528169014085
2019-04-04 00:00:00,4128.792857142857
2019-04-05 00:00:00,4061.6202531645567
2019-04-06 00:00:00,3761.820143884892
2019-04-07 00:00:00,3688.3475177304963
2019-04-08 00:00:00,4038.9527027027025
2019-04-09 00:00:00,4375.810606060606
2019-04-10 00:00:00,4314.959459459459
2019-04-11 00:00:00,4267.356687898089
2019-04-12 00:00:00,4131.211920529801
2019-04-13 00:00:00,3959.1925925925925
2019-04-14 00:00:00,4036.4918032786886
2019-04-15 00:00:00,4112.193103448276
2019-04-16 00:00:00,3957.2344827586207
2019-04-17 00:00:00,4036.485507246377
2019-04-18 00:00:00,4029.986577181208
2019-04-19 00:00:00,4329.953947368421
2019-04-20 00:00:00,3948.732824427481
2019-04-21 00:00:00,3504.216049382716
2019-04-22 00:00:00,4102.0970149253735
2019-04-23 00:00:00,4652.474137931034
2019-04-24 00:00:00,4185.840490797546
2019-04-25 00:00:00,4341.216783216783
2019-04-26 00:00:00,4274.920529801325
2019-04-27 00:00:00,4044.810218978102
2019-04-28 00:00:00,3418.4171779141107
2019-04-29 00:00:00,3688.472392638037
2019-04-30 00:00:00,4490.15
2019-05-01 00:00:00,3738.5730994152045
2019-05-02 00:00:00,3708.5434782608695
2019-05-03 00:00:00,4263.440789473684
2019-05-04 00:00:00,4140.507575757576
2019-05-05 00:00:00,4415.813953488372
2019-05-06 00:00:00,4253.218543046358
2019-05-07 00:00:00,4985.110236220473
2019-05-08 00:00:00,4883.730263157895
2019-05-09 00:00:00,4246.8133333333335
2019-05-10 00:00:00,4931.144
2019-05-11 00:00:00,4251.023076923077
2019-05-12 00:00:00,3489.278481012658
2019-05-13 00:00:00,3835.6586826347307
2019-05-14 00:00:00,4301.0921052631575
2019-05-15 00:00:00,4529.3288590604025
2019-05-16 00:00:00,4727.376712328767
2019-05-17 00:00:00,4534.271523178808
2019-05-18 00:00:00,3954.4575163398695
2019-05-19 00:00:00,3493.7423312883434
2019-05-20 00:00:00,4092.7639751552797
2019-05-21 00:00:00,4502.5424836601305
2019-05-22 00:00:00,4206.508982035928
2019-05-23 00:00:00,4357.43670886076
2019-05-24 00:00:00,4648.156862745098
2019-05-25 00:00:00,4068.75
2019-05-26 00:00:00,3523.278787878788
2019-05-27 00:00:00,4244.874251497006
2019-05-28 00:00:00,4457.8963414634145
2019-05-29 00:00:00,4234.626436781609
2019-05-30 00:00:00,4321.78125
2019-05-31 00:00:00,5221.153846153846
2019-06-01 00:00:00,3906.562913907285
2019-06-02 00:00:00,3991.1832061068703
2019-06-03 00:00:00,4727.512605042017
2019-06-04 00:00:00,4677.2532467532465
2019-06-05 00:00:00,4198.25625
2019-06-06 00:00:00,4093.923566878981
2019-06-07 00:00:00,4160.094936708861
2019-06-08 00:00:00,4041.0967741935483
2019-06-09 00:00:00,3442.1496598639455
2019-06-10 00:00:00,4057.5286624203823
2019-06-11 00:00:00,4554.181818181818
2019-06-12 00:00:00,4724.984732824428
2019-06-13 00:00:00,4536.6688741721855
2019-06-14 00:00:00,4450.005917159763
2019-06-15 00:00:00,4254.698630136986
2019-06-16 00:00:00,4076.3
2019-06-17 00:00:00,4924.06015037594
2019-06-18 00:00:00,4311
2019-06-19 00:00:00,3991.508474576271
2019-06-20 00:00:00,4642.486111111111
2019-06-21 00:00:00,4926.7819548872185
