Timestamp,n-payments-per-block,miners-revenue,trade-volume,avg-block-size,n-unique-addresses,difficulty,hash-rate
1/6/2019 0:00,2753,7171472,153177701,0.82667539,389294,5620000000000,42762993
1/7/2019 0:00,3050,7286415,262637390,0.984752745,448076,5620000000000,42006627
1/8/2019 0:00,2764,8944897,314915701,0.86793,465085,5620000000000,41855387
1/9/2019 0:00,2881,8518054,298841667,0.884137811,463346,5620000000000,42653392
1/10/2019 0:00,3204,7609635,371858817,0.970871821,489566,5620000000000,43172096
1/11/2019 0:00,3300,6809815,465176834,0.983164703,486650,5620000000000,43211996
1/12/2019 0:00,2979,6407919,307270949,0.896714659,396628,5620000000000,43172096
1/13/2019 0:00,2942,6266418,193636745,0.853370891,372207,5620000000000,42174589
1/14/2019 0:00,3212,6736884,170721560,0.956647966,455377,5860000000000,42014988
1/15/2019 0:00,3460,6183026,274892455,1.065034848,466212,5880000000000,42592391
1/16/2019 0:00,3594,6073705,273280909,1.11209812,493982,5880000000000,41364858
1/17/2019 0:00,3540,5891153,237255850,1.097214181,462879,5880000000000,40378612
1/18/2019 0:00,3477,6307175,242822025,1.037986,484530,5880000000000,39460858
1/19/2019 0:00,3138,6354783,193239372,0.95912206,400053,5880000000000,39321940
1/20/2019 0:00,2667,7150097,205575557,0.805785057,379374,5880000000000,39373101
1/21/2019 0:00,3103,6879084,214411840,0.943183713,449404,5880000000000,40467001
1/22/2019 0:00,3396,5844343,200754428,1.055254915,450118,5880000000000,40531402
1/23/2019 0:00,3300,6683462,209940368,1.026111377,482794,5880000000000,40447832
1/24/2019 0:00,2861,7364948,204197870,0.911348741,470446,5880000000000,40991036
1/25/2019 0:00,3502,6309970,151516265,1.017360051,492261,5880000000000,42453509
1/26/2019 0:00,3075,6857449,184223341,0.98073546,444594,5880000000000,42453509
1/27/2019 0:00,2968,6393436,157218440,0.881242818,383276,5880000000000,43163854
1/28/2019 0:00,3238,6318407,162815294,1.022644421,481279,5840000000000,42328155
1/29/2019 0:00,3322,6364552,219370864,1.010222788,480702,5810000000000,42070490
1/30/2019 0:00,3488,5884537,125314902,1.074707971,462721,5810000000000,42667171
1/31/2019 0:00,3340,6731427,160951786,1.015420213,487936,5810000000000,42182366
2/1/2019 0:00,3261,6857975,112849978,1.024592437,502881,5810000000000,41813561
